gbifid	latitude	longitude	presence	wc2.1_2.5m_bio_1	wc2.1_2.5m_bio_2	wc2.1_2.5m_bio_3	wc2.1_2.5m_bio_4	wc2.1_2.5m_bio_5	wc2.1_2.5m_bio_6	wc2.1_2.5m_bio_7	wc2.1_2.5m_bio_8	wc2.1_2.5m_bio_9	wc2.1_2.5m_bio_10	wc2.1_2.5m_bio_11	wc2.1_2.5m_bio_12	wc2.1_2.5m_bio_13	wc2.1_2.5m_bio_14	wc2.1_2.5m_bio_15	wc2.1_2.5m_bio_16	wc2.1_2.5m_bio_17	wc2.1_2.5m_bio_18	wc2.1_2.5m_bio_19
1802722435	32.335563	-110.897965	1	17.309667587280273	13.245333671569824	43.77175521850586	675.13665771484375	33.08000183105469	2.819999933242798	30.26000213623047	25.253334045410156	19.91066551208496	25.618667602539062	9.41866683959961	538	90	9	57.295310974121094	233	36	189	144
1562977764	32.28267	-110.902808	1	20.680500030517578	15.421667098999023	45.491641998291016	742.7635498046875	37.847999572753906	3.947999954223633	33.900001525878906	29.351333618164062	24.04400062561035	29.910667419433594	11.949999809265137	311	56	5	59.70512771606445	141	20	115	78
1438807974	30.291053	-110.721334	1	19.82666778564453	18.639333724975586	54.127464294433594	623.72698974609375	37.540000915527344	3.1039998531341553	34.43600082397461	26.954666137695312	18.771333694458008	27.439332962036133	12.291333198547363	507	140	3	96.57850646972656	307	28	269	102
1500282664	32.054131	-110.683655	1	19.0939998626709	16.88133430480957	48.54305648803711	714.726806640625	36.97600173950195	2.200000047683716	34.7760009765625	27.423999786376953	22.237333297729492	27.95133399963379	10.669333457946777	373	79	5	73.17537689208984	192	23	161	84
1668872859	32.251105	-110.716942	1	19.88249969482422	15.788999557495117	46.834957122802734	724.1834716796875	37.19599914550781	3.4839999675750732	33.711997985839844	28.378000259399414	23.065332412719727	28.90399932861328	11.416666030883789	341	62	6	62.38776397705078	159	22	130	84
1802687078	32.194042	-111.019753	1	20.591833114624023	15.195000648498535	45.05693054199219	733.7000732421875	37.79600143432617	4.072000026702881	33.724002838134766	29.034000396728516	24.020000457763672	29.631999969482422	11.880666732788086	315	59	5	63.08055877685547	148	20	121	78
1802687545	32.25618	-111.073661	1	20.491500854492188	15.21833324432373	44.92364501953125	741.9853515625	37.70800018310547	3.8320000171661377	33.875999450683594	29.05000114440918	23.934667587280273	29.59866714477539	11.645333290100098	311	57	5	60.60208511352539	143	20	116	78
1500298143	32.312625	-111.013467	1	20.69099998474121	16.064666748046875	46.311885833740234	747.07135009765625	38.1879997253418	3.5	34.6879997253418	29.381999969482422	24.10333251953125	29.876667022705078	11.795999526977539	296	54	5	59.81464385986328	134	18	108	76
1586103508	33.25528	-111.33812	1	21.616832733154297	16.31166648864746	44.518741607666016	806.362548828125	40.97200012207031	4.332000255584717	36.63999938964844	31.399333953857422	24.474666595458984	31.415332794189453	12.088000297546387	325	44	3	47.71219253540039	105	21	80	104
1671724917	33.565278	-112.681458	1	21.892166137695312	18.126333236694336	45.926658630371094	829.45074462890625	42.65999984741211	3.192000150680542	39.46799850463867	31.908000946044922	25.237333297729492	32.28666687011719	12.162667274475098	217	33	2	51.993247985839844	77	11	54	70
1571200473	32.078044	-110.647537	1	18.66950035095215	16.713666915893555	48.705169677734375	705.28460693359375	36.30400085449219	1.9880000352859497	34.316001892089844	26.902666091918945	21.70400047302246	27.40133285522461	10.347999572753906	394	85	5	74.013336181640625	204	25	172	88
1438808282	30.806168	-112.238588	1	21.98383331298828	18.20633316040039	51.36647415161133	708.22515869140625	40.04399871826172	4.599999904632568	35.444000244140625	30.62066650390625	24.544666290283203	30.729999542236328	13.560667037963867	240	58	2	83.00181579589844	132	9	109	57
1500350867	32.374017	-111.051444	1	20.719499588012695	16.051666259765625	46.104278564453125	750.3831787109375	38.35200119018555	3.5360000133514404	34.816001892089844	29.47533416748047	24.1026668548584	29.941999435424805	11.785333633422852	301	54	5	58.45193099975586	134	19	108	78
1668872052	32.194217	-110.74643	1	19.476333618164062	15.9486665725708	46.628074645996094	729.31085205078125	37.06800079345703	2.864000082015991	34.204002380371094	27.95199966430664	22.75666618347168	28.507999420166016	10.873332977294922	357	68	5	65.77742004394531	172	22	142	86
1420619549	29.058333	-111.225	1	22.928333282470703	19.5766658782959	55.793052673339844	651.34991455078125	39.95600128173828	4.868000030517578	35.0880012512207	30.939334869384766	25.082000732421875	30.939334869384766	15.125333786010742	230	62	2	103.06056213378906	153	7	153	48
1640097986	32.978448	-110.767899	1	20.422332763671875	16.143333435058594	44.12193298339844	808.91595458984375	39.400001525878906	2.812000036239624	36.5880012512207	29.957332611083984	23.937334060668945	30.40999984741211	10.76533317565918	337	49	4	48.76879119873047	120	21	93	104
1677296134	33.497788	-112.678173	1	22.25233268737793	18.30666732788086	45.7895622253418	837.28125	43.284000396728516	3.303999900817871	39.97999954223633	32.34333419799805	25.674667358398438	32.767333984375	12.430000305175781	200	31	2	51.89692687988281	72	10	50	64
1438808544	31.971438	-113.623736	1	22.803667068481445	17.006000518798828	48.16472625732422	733.2496337890625	40.79999923706055	5.492000102996826	35.30799865722656	28.952667236328125	25.40399932861328	31.812665939331055	14.091333389282227	119	20	1	57.200531005859375	52	5	48	36
1677302671	32.834644	-112.136404	1	21.05583381652832	15.993666648864746	43.86152267456055	797.06988525390625	39.97600173950195	3.51200008392334	36.4640007019043	30.52466583251953	24.416000366210938	30.974666595458984	11.619333267211914	235	39	3	52.22115707397461	91	14	71	70
1802713659	32.348478	-110.95275	1	19.354333877563477	14.128665924072266	44.0145378112793	717.41375732421875	35.81599807739258	3.7160000801086426	32.099998474121094	27.711999893188477	22.43666648864746	28.187999725341797	10.889333724975586	418	71	7	57.23971939086914	182	27	147	111
1500324249	32.336158	-111.005058	1	20.586166381835938	15.812333106994629	46.0035285949707	742.83184814453125	37.97200012207031	3.5999999046325684	34.37200164794922	29.275333404541016	23.902000427246094	29.729999542236328	11.775333404541016	309	55	5	58.15730667114258	137	19	110	80
1805411925	32.369263	-111.080833	1	20.719499588012695	16.051666259765625	46.104278564453125	750.3831787109375	38.35200119018555	3.5360000133514404	34.816001892089844	29.47533416748047	24.1026668548584	29.941999435424805	11.785333633422852	301	54	5	58.45193099975586	134	19	108	78
1453426481	32.277878	-111.084655	1	20.074832916259766	14.451000213623047	44.176448822021484	727.54217529296875	36.79999923706055	4.0879998207092285	32.711997985839844	28.45400047302246	23.385332107543945	29.007999420166016	11.418000221252441	345	62	5	61.349246978759766	159	21	128	88
1677315084	32.284938	-111.035461	1	20.70599937438965	15.88266658782959	45.97275161743164	745.7288818359375	38.172000885009766	3.624000072479248	34.54800033569336	29.350666046142578	24.145999908447266	29.876667022705078	11.823999404907227	297	55	5	61.02549362182617	136	18	110	75
1802710844	32.353562	-110.953863	1	19.354333877563477	14.128665924072266	44.0145378112793	717.41375732421875	35.81599807739258	3.7160000801086426	32.099998474121094	27.711999893188477	22.43666648864746	28.187999725341797	10.889333724975586	418	71	7	57.23971939086914	182	27	147	111
1805395831	32.388313	-111.067375	1	20.454334259033203	15.839333534240723	45.773128509521484	751.37701416015625	38.01599884033203	3.4119999408721924	34.604000091552734	29.238666534423828	23.803333282470703	29.6820011138916	11.526666641235352	317	56	5	57.02662658691406	138	20	111	84
1668864947	32.286775	-110.815125	1	20.436166763305664	15.352333068847656	45.4426155090332	743.765869140625	37.58399963378906	3.799999952316284	33.784000396728516	29.1299991607666	23.793333053588867	29.700666427612305	11.735333442687988	321	58	5	60.944889068603516	147	20	120	81
1453406693	32.200332	-112.759828	1	21.490999221801758	16.858667373657227	46.653385162353516	762.155029296875	40.14799880981445	4.01200008392334	36.1359977722168	30.66066551208496	24.531999588012695	30.96066665649414	12.496000289916992	213	39	2	59.26417541503906	92	10	69	61
1586104614	32.530333	-111.44622	1	21.19183349609375	16.386999130249023	45.03902816772461	784.89599609375	39.7239990234375	3.3399999141693115	36.38399887084961	30.400667190551758	24.569332122802734	30.738666534423828	11.727333068847656	276	48	4	57.047515869140625	118	17	93	75
1586120191	31.922913	-110.925575	1	19.607999801635742	17.227333068847656	48.80817794799805	713.69183349609375	37.551998138427734	2.25600004196167	35.295997619628906	27.924667358398438	22.860000610351562	28.516666412353516	11.215332984924316	349	73	5	71.49742126464844	179	22	148	77
1703154806	33.756624	-112.121063	1	21.749332427978516	17.375999450683594	46.07551956176758	799.1741943359375	41.61199951171875	3.9000000953674316	37.711997985839844	13.8100004196167	24.979331970214844	31.761333465576172	12.442000389099121	287	39	4	48.02225112915039	103	21	61	100
1438808396	28.591367	-110.246048	1	23.007999420166016	19.35533332824707	57.33894348144531	562.0745849609375	39.62799835205078	5.872000217437744	33.75599670410156	29.446666717529297	21.80266761779785	29.70199966430664	16.082000732421875	484	141	3	115.48268127441406	340	15	291	74
